transaction date,house age,distance to the nearest MRT station,GarageArea,number of convenience stores,latitude,longitude,Neighborhood,GarageType,house price of unit area
2012.917,32,84.87882,548,10,24.98298,121.54024,CollgCr,Attchd,37.9
2012.917,19.5,306.5947,460,9,24.98034,121.53951,Veenker,Attchd,42.2
2013.583,13.3,561.9845,608,5,24.98746,121.54391,CollgCr,Attchd,47.3
2013.5,13.3,561.9845,642,5,24.98746,121.54391,Crawfor,Detchd,54.8
2012.833,5,390.5684,836,5,24.97937,121.54245,NoRidge,Attchd,43.1
2012.667,7.1,2175.03,480,3,24.96305,121.51254,Mitchel,Attchd,32.1
2012.667,34.5,623.4731,636,7,24.97933,121.53642,Somerst,Attchd,40.3
2013.417,20.3,287.6025,484,6,24.98042,121.54228,NWAmes,Attchd,46.7
2013.5,31.7,5512.038,468,1,24.95095,121.48458,OldTown,Detchd,18.8
2013.417,17.9,1783.18,205,3,24.96731,121.51486,BrkSide,Attchd,22.1
2013.083,34.8,405.2134,384,1,24.97349,121.53372,Sawyer,Detchd,41.4
2013.333,6.3,90.45606,736,9,24.97433,121.5431,NridgHt,BuiltIn,58.1
2012.917,13,492.2313,352,5,24.96515,121.53737,Sawyer,Detchd,39.3
2012.667,20.4,2469.645,840,4,24.96108,121.51046,CollgCr,Attchd,23.8
2013.5,13.2,1164.838,352,4,24.99156,121.53406,NAmes,Attchd,34.3
2013.583,35.7,579.2083,576,2,24.9824,121.54619,BrkSide,Detchd,50.5
2013.25,0,292.9978,480,6,24.97744,121.54458,NAmes,Attchd,70.1
2012.75,17.7,350.8515,516,1,24.97544,121.53119,Sawyer,CarPort,37.4
2013.417,16.9,368.1363,576,8,24.9675,121.54451,SawyerW,Detchd,42.3
2012.667,1.5,23.38284,294,7,24.96772,121.54102,NAmes,Attchd,47.7
2013.417,4.5,2275.877,853,3,24.96314,121.51151,NridgHt,BuiltIn,29.3
2013.417,10.5,279.1726,280,7,24.97528,121.54541,IDOTRR,Attchd,51.6
2012.917,14.7,1360.139,534,1,24.95204,121.54842,CollgCr,Attchd,24.6
2013.083,10.1,279.1726,572,7,24.97528,121.54541,MeadowV,Attchd,47.9
2013,39.6,480.6977,270,4,24.97353,121.53885,Sawyer,Attchd,38.8
2013.083,29.3,1487.868,890,2,24.97542,121.51726,NridgHt,Attchd,27
2012.667,3.1,383.8624,576,5,24.98085,121.54391,NAmes,Detchd,56.2
2013.25,10.4,276.449,772,5,24.95593,121.53913,NridgHt,Attchd,33.6
2013.5,19.2,557.478,319,4,24.97419,121.53797,NAmes,Attchd,47
2013.083,7.1,451.2438,240,5,24.97563,121.54694,BrkSide,Detchd,57.1
2013.5,25.9,4519.69,250,0,24.94826,121.49587,IDOTRR,Detchd,22.1
2012.75,29.6,769.4034,271,7,24.98281,121.53408,Sawyer,Attchd,25
2012.75,37.9,488.5727,484,1,24.97349,121.53451,CollgCr,Attchd,34.2
2013.25,16.5,323.655,447,6,24.97841,121.54281,NAmes,Attchd,49.3
2012.75,15.4,205.367,556,7,24.98419,121.54243,NridgHt,Attchd,55.1
2013.5,13.9,4079.418,691,0,25.01459,121.51816,NridgHt,BuiltIn,27.3
2012.917,14.7,1935.009,672,2,24.96386,121.51458,CollgCr,Attchd,22.9
2013.167,12,1360.139,498,1,24.95204,121.54842,NAmes,Attchd,25.3
2012.667,3.1,577.9615,246,6,24.97201,121.54722,NAmes,Detchd,47.7
